Department,District,Block
Bruhat Bengaluru Mahanagara Palike (Dasarahalli Zone)BBMP,Dasarahalli Zone,Not Applicable
Bruhat Bengaluru Mahanagara Palike (East Zone) BBMP,East Zone,Not Applicable
Bruhat Bengaluru Mahanagara Palike (Mahadevapura Zone) BBMP,Mahadevapura Zone,Not Applicable
Bruhat Bengaluru Mahanagara Palike (Raja rajeshwarinagar Zone)BBMP,Raja rajeshwarinagar Zone,Not Applicable
Bruhat Bengaluru Mahanagara Palike (South Zone)BBMP,South Zone,Not Applicable
Bruhat Bengaluru Mahanagara Palike (West Zone)BBMP,West Zone,Not Applicable
Bruhat Bengaluru Mahanagara Palike (Yalahanka Zone) BBMP,Yalahanka Zone,Not Applicable
Central Relief Committee,NA,Not Applicable
Chamarajanagara - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Chamarajanagara,Not Applicable
Chamarajanagara-Karnataka Vocational training and Skill Development Corporation,Chamarajanagara,Not Applicable
"Chamarajanagara - Office of The Deputy Director, Department of Social Welfare",Chamarajanagara,Not Applicable
Chamarajanagara Urban Development Authority (CHUDA),CHUDA,Not Applicable
Chamarajanagar- Chamarajanagar Institute of Medical Sciences,Chamarajanagar,Not Applicable
Chamarajanagar-Chamarajanagar-Rural Development and Panchayat Raj - RDPR(T.P),Chamarajanagar,Chamarajanagar
"Chamarajanagar - Deputy Director office, Horticulture department",Chamarajanagar,Not Applicable
Chamarajanagar-Deputy Director of Land Records-DDLR,Chamarajanagar,Not Applicable
Chamarajanagar-District Consumer disputes Redressal commission,Chamarajanagar,Not Applicable
Chamarajanagar-District Registrar - DR,Chamarajanagar,Not Applicable
Chamarajanagar - District Training Institute,Chamarajanagar,Not Applicable
Chamarajanagar-Food and Civil Supplies - FCS,Chamarajanagar,Not Applicable
Chamarajanagar-Gundlupet-Rural Development and Panchayat Raj - RDPR(T.P),Chamarajanagar,Gundlupet
Chamarajanagar-Hanur-Rural Development and Panchayat Raj - RDPR(T.P),Chamarajanagar,Hanur
"Chamarajanagar-Industrial Training and Employment Department, District Employment Exchange Office",Chamarajanagar,Not Applicable
Chamarajanagar- Karnataka State Khadi And Village Industries Board,Chamarajanagar,Not Applicable
Chamarajanagar-Kollegal-Rural Development and Panchayat Raj - RDPR(T.P),Chamarajanagar,Kollegal
Chamarajanagar-LABOUR,Chamarajanagar,Not Applicable
"Chamarajanagar - Office of The Assistant Director, Agricultural Marketing Department",Chamarajanagar,Not Applicable
"Chamarajanagar- Office of the Deputy commissioner, Department of Excise",Chamarajanagar,Not Applicable
"Chamarajanagar - Office of The Deputy Director, Department of Pre University Eductaion",Chamarajanagar,Not Applicable
"Chamarajanagar- Office of The Deputy Director, Department of Public Instruction",Chamarajanagar,Not Applicable
"Chamarajanagar- Office of The Deputy Director, Department of Women and Child Development",Chamarajanagar,Not Applicable
"Chamarajanagar - Office of The Deputy Director,Dept of Animal Husbandry and Veterinary Services",Chamarajanagar,Not Applicable
"Chamarajanagar - Office of the Deputy Director, District Treasury",Chamarajanagar,Not Applicable
"Chamarajanagar- Office of The Deputy Director , Fisheries Department",Chamarajanagar,Not Applicable
"Chamarajanagar- Office of The District Fire Officer, Karnataka Fire and Emergency Services",Chamarajanagar,Not Applicable
Chamarajanagar - Office of The District Health and Family Welfare Officer,Chamarajanagar,Not Applicable
"Chamarajanagar - Office of the District Officer, Backward Class Welfare Department",Chamarajanagar,Not Applicable
"Chamarajanagar - Office of the District officer, Minority Welfare Department",Chamarajanagar,Not Applicable
Chamarajanagar- Office of The District Scheduled Tribes Welfare Officer,Chamarajanagar,Not Applicable
"Chamarajanagar- Office of The District Statistical Officer, Department of Statistics",Chamarajanagar,Not Applicable
"Chamarajanagar - Office of The Executive Engineer, Department of Rural Drinking Water and Sanitation",Chamarajanagar,Not Applicable
"Chamarajanagar- Office of The Joint Director, Department of Agriculture",Chamarajanagar,Not Applicable
"Chamarajanagar- Office of The Joint Director, District Industries Centre, Dept of Ind & Comm",Chamarajanagar,Not Applicable
"Chamarajanagar- Office of the Senior Geologist, Department of Mines and Geology",Chamarajanagar,Not Applicable
Chamarajanagar- Office of The Superintendent of Police,Chamarajanagar,Not Applicable
Chamarajanagar-Principal District and Sessions Court,Chamarajanagar,Not Applicable
Chamarajanagar-Public Works Department - PWD,Chamarajanagar,Not Applicable
Chamarajanagar-Rampur-Rural Development and Panchayat Raj - RDPR(T.P),Chamarajanagar,Rampur
"Chamarajanagar- Regional Office, Karnataka State Pollution Control Board",Chamarajanagar,Not Applicable
Chamarajanagar-REVENUE,Chamarajanagar,Not Applicable
Chamarajanagar-Rural Development and Panchayat Raj - RDPR(Z.P),Chamarajanagar,NA
Chamarajanagar-Urban Development Cell - DUDC,Chamarajanagar,Not Applicable
Chamarajanagar-Yelandur-Rural Development and Panchayat Raj - RDPR(T.P),Chamarajanagar,Yelandur
Chamarajnagar - District Institue of Education and Training (DIET),Chamarajnagar,Not Applicable
Chamundeshwari Electricity Supply Corporation Limited(Chamarajanagar-Kodagu Circle)CESCOM,Chamundeshwari Electricity Supply Corporation Limited(Chamarajanagar,Not Applicable
Chamundeshwari Electricity Supply Corporation Limited(Corporate Office)CESCOM,Corporate Office,Not Applicable
Chamundeshwari Electricity Supply Corporation Limited(Hassan Circle),Hassan Circle,Not Applicable
Chamundeshwari Electricity Supply Corporation Limited(Hassan Zone),Hassan Zone,Not Applicable
Chamundeshwari Electricity Supply Corporation Limited(Mandya Circle)CESCOM,Mandya Circle,Not Applicable
Chamundeshwari Electricity Supply Corporation Limited(Mysuru Circle)CESCOM,Mysuru Circle,Not Applicable
Chamundeshwari Electricity Supply Corporation Limited(Mysuru Zone)CESCOM,Mysuru Zone,Not Applicable
Channarayapatna Planning Authority,Channarayapatna,Not Applicable
"Chennai-Bengaluru Industrial Corridor Tumakuru Local Planning Authority, Tumakuru",Chennai,Not Applicable
Chikkaballapura-Bagepalli-Rural Development and Panchayat Raj - RDPR(T.P),Chikkaballapura,Bagepalli
Chikkaballapura-Chikkaballapura-Rural Development and Panchayat Raj - RDPR(T.P),Chikkaballapura,Chikkaballapura
Chikkaballapura-Chintamani-Rural Development and Panchayat Raj - RDPR(T.P),Chikkaballapura,Chintamani
Chikkaballapura - District Institute for Education and Training (DIET),Chikkaballapura,Not Applicable
Chikkaballapura-District Registrar - DR,Chikkaballapura,Not Applicable
Chikkaballapura - District Training Institute,Chikkaballapura,Not Applicable
Chikkaballapura-Food and Civil Supplies - FCS,Chikkaballapura,Not Applicable
Chikkaballapura-Gauribidanur-Rural Development and Panchayat Raj - RDPR(T.P),Chikkaballapura,Gauribidanur
Chikkaballapura-Gudibande-Rural Development and Panchayat Raj - RDPR(T.P),Chikkaballapura,Gudibande
"Chikkaballapura - Joint Director office, Commerce and Industries department",Chikkaballapura,Not Applicable
Chikkaballapura-LABOUR,Chikkaballapura,Not Applicable
"Chikkaballapura -Office of The Assistant Director, Department of Agricultural Marketing",Chikkaballapura,Not Applicable
"Chikkaballapura- Office of The Assistant Director, Department of Youth Empowerment and Sports",Chikkaballapura,Not Applicable
"Chikkaballapura- Office of The Deputy Commissioner, Department of Excise",Chikkaballapura,Not Applicable
"Chikkaballapura - Office of the Deputy Director (Administration), Department of School Education",Chikkaballapura,Not Applicable
"Chikkaballapura- Office of The Deputy Director, Department of Pre University Eductaion.",Chikkaballapura,Not Applicable
"Chikkaballapura - Office of the Deputy Director, Department of Women and Child development",Chikkaballapura,Not Applicable
"Chikkaballapura-Office of The Deputy Director,Dept of Animal Husbandry and Veterinary Services",Chikkaballapura,Not Applicable
"Chikkaballapura - Office of the Deputy Director, District Treasury",Chikkaballapura,Not Applicable
"Chikkaballapura- Office of The Deputy Director, Fisheries Department",Chikkaballapura,Not Applicable
"Chikkaballapura- Office of The Deputy Director, Horticulture Department",Chikkaballapura,Not Applicable
Chikkaballapura - Office of The District Health and Family Welfare Officer,Chikkaballapura,Not Applicable
"Chikkaballapura- Office of The District Officer, Department of Backward Classes Welfare",Chikkaballapura,Not Applicable
"Chikkaballapura - Office of the District officer, Minority Welfare Department",Chikkaballapura,Not Applicable
"Chikkaballapura - Office of The District Skill Development Officer, Skill Development Department",Chikkaballapura,Not Applicable
"Chikkaballapura- Office of the Joint Director, Department of Agriculture",Chikkaballapura,Not Applicable
"Chikkaballapura- Office of The Senior Assistant Director,Dept of Information and Public Relations",Chikkaballapura,Not Applicable
Chikkaballapura- Office of The Superintendent of Police,Chikkaballapura,Not Applicable
Chikkaballapura-Public Works Department - PWD,Chikkaballapura,Not Applicable
Chikkaballapura-REVENUE,Chikkaballapura,Not Applicable
Chikkaballapura-Rural Development and Panchayat Raj - RDPR(Z.P),Chikkaballapura,NA
Chikkaballapura-Sidlaghatta-Rural Development and Panchayat Raj - RDPR(T.P),Chikkaballapura,Sidlaghatta
Chikkaballapura - Urban Development Authority,Chikkaballapura,Not Applicable
Chikkaballapura- Urban Development Cell - DUDC,Chikkaballapura,Not Applicable
Chikkaballapur-Deputy Director of Land Records-DDLR,Chikkaballapur,Not Applicable
Chikkaballapur - District Consumer Disputes Redressal Commission,Chikkaballapur,Not Applicable
Chikkaballapur - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Chikkaballapur,Not Applicable
Chikkamagaluru-Ajjampura-Rural Development and Panchayat Raj - RDPR(T.P),Chikkamagaluru,Ajjampura
Chikkamagaluru- Aralaguppe Mallegowda District Hospital,Chikkamagaluru,Not Applicable
Chikkamagaluru-Chikkamagaluru-Rural Development and Panchayat Raj - RDPR(T.P),Chikkamagaluru,Chikkamagaluru
"Chikkamagaluru - Deputy Director office, Horticulture department",Chikkamagaluru,Not Applicable
Chikkamagaluru-Deputy Director of Land Records-DDLR,Chikkamagaluru,Not Applicable
Chikkamagaluru - District Institute of Education and Training(DIET),Chikkamagaluru,Not Applicable
Chikkamagaluru-District Registrar - DR,Chikkamagaluru,Not Applicable
Chikkamagaluru - District Training Institute,Chikkamagaluru,Not Applicable
Chikkamagaluru-Food and Civil Supplies - FCS,Chikkamagaluru,Not Applicable
"Chikkamagaluru-Joint Director office, Commerce and Industries Department",Chikkamagaluru,Not Applicable
Chikkamagaluru-Kadur-Rural Development and Panchayat Raj - RDPR(T.P),Chikkamagaluru,Kadur
Chikkamagaluru- Karnataka Rural Infrastructure Development Limited,Chikkamagaluru,Not Applicable
Chikkamagaluru-Koppa-Rural Development and Panchayat Raj - RDPR(T.P),Chikkamagaluru,Koppa
Chikkamagaluru-LABOUR,Chikkamagaluru,Not Applicable
Chikkamagaluru-Mudigere-Rural Development and Panchayat Raj - RDPR(T.P),Chikkamagaluru,Mudigere
Chikkamagaluru-Narasimharajapura-Rural Development and Panchayat Raj - RDPR(T.P),Chikkamagaluru,Narasimharajapura
"Chikkamagaluru - Office of The Assistant Director, Department of Agricultural Marketing",Chikkamagaluru,Not Applicable
"Chikkamagaluru- Office of The Assistant Director, Department of Tourism",Chikkamagaluru,Not Applicable
"Chikkamagaluru - Office of the Assistant Director, Department of Town and Country Planning",Chikkamagaluru,Not Applicable
"Chikkamagaluru- Office of the Deputy commissioner, Department of Excise",Chikkamagaluru,Not Applicable
"Chikkamagaluru - Office of the Deputy Director, Department of Handlooms and Textiles",Chikkamagaluru,Not Applicable
"Chikkamagaluru - office of the Deputy Director, Department of Pre University Eductaion",Chikkamagaluru,Not Applicable
"Chikkamagaluru- Office of The Deputy Director, Department of Public Instruction",Chikkamagaluru,Not Applicable
"Chikkamagaluru- Office of the Deputy Director, Department of Sericulture",Chikkamagaluru,Not Applicable
"Chikkamagaluru - Office of the Deputy Director, Department of Social Welfare",Chikkamagaluru,Not Applicable
"Chikkamagaluru- Office of the Deputy Director, Department of Women and Child Welfare",Chikkamagaluru,Not Applicable
"Chikkamagaluru - Office of the Deputy Director, District Treasury",Chikkamagaluru,Not Applicable
Chikkamagaluru - Office of the District Health and Family Welfare Services Officer,Chikkamagaluru,Not Applicable
"Chikkamagaluru - Office of the District Officer, Backward Class Welfare Department",Chikkamagaluru,Not Applicable
"Chikkamagaluru - Office of the District officer, Minority Welfare Department",Chikkamagaluru,Not Applicable
"Chikkamagaluru - Office of The District Skill Development Officer, Skill Development Department",Chikkamagaluru,Not Applicable
"Chikkamagaluru- Office of the District Statistical Officer, Department of Statistics",Chikkamagaluru,Not Applicable
"Chikkamagaluru- Office of the Joint Director, Department of Agriculture",Chikkamagaluru,Not Applicable
"Chikkamagaluru- Office of The Senior Assistant Director, Fisheries Department",Chikkamagaluru,Not Applicable
Chikkamagaluru- Office of The Superintendent of Police,Chikkamagaluru,Not Applicable
Chikkamagaluru-Public Works Department - PWD,Chikkamagaluru,Not Applicable
"Chikkamagaluru- Regional Office, Karnataka State Pollution Control Board",Chikkamagaluru,Not Applicable
Chikkamagaluru-REVENUE,Chikkamagaluru,Not Applicable
Chikkamagaluru-Rural Development and Panchayat Raj - RDPR(Z.P),Chikkamagaluru,NA
Chikkamagaluru-Sringeri-Rural Development and Panchayat Raj - RDPR(T.P),Chikkamagaluru,Sringeri
Chikkamagaluru-Tarikere-Rural Development and Panchayat Raj - RDPR(T.P),Chikkamagaluru,Tarikere
Chikkamagaluru- Urban Development Authority,Chikkamagaluru,Not Applicable
Chikkamagaluru-Urban Development Cell- DUDC,Chikkamagaluru,Not Applicable
Chitradurga - Agricultural Marketing Department,Chitradurga,Not Applicable
Chitradurga- Branch Office Karnataka State Financial Corporation,Chitradurga,Not Applicable
Chitradurga-Challakere-Rural Development and Panchayat Raj - RDPR(T.P),Chitradurga,Challakere
Chitradurga-Chitradurga-Rural Development and Panchayat Raj - RDPR(T.P),Chitradurga,Chitradurga
Chitradurga - College of Teachers Education,Chitradurga,Not Applicable
Chitradurga-Deputy Director of Land Records-DDLR,Chitradurga,Not Applicable
Chitradurga - District Consumer Disputes Redressal Commission,Chitradurga,Not Applicable
Chitradurga - District Hospital,Chitradurga,Not Applicable
Chitradurga - District Institute for Education and Training (DIET),Chitradurga,Not Applicable
Chitradurga - District Project office- karnataka Housing board,Chitradurga,Not Applicable
Chitradurga-District Registrar - DR,Chitradurga,Not Applicable
Chitradurga - District Training Institute,Chitradurga,Not Applicable
Chitradurga-Food and Civil Supplies - FCS,Chitradurga,Not Applicable
Chitradurga-Hiriyur-Rural Development and Panchayat Raj - RDPR(T.P),Chitradurga,Hiriyur
Chitradurga-Holalkere-Rural Development and Panchayat Raj - RDPR(T.P),Chitradurga,Holalkere
Chitradurga-Hosadurga-Rural Development and Panchayat Raj - RDPR(T.P),Chitradurga,Hosadurga
Chitradurga - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Chitradurga,Not Applicable
Chitradurga-LABOUR,Chitradurga,Not Applicable
Chitradurga-Molakalmuru-Rural Development and Panchayat Raj - RDPR(T.P),Chitradurga,Molakalmuru
"Chitradurga - Office of the Assiatant Director, Department of Kannada and Culture",Chitradurga,Not Applicable
"Chitradurga - Office of the Assistant Director, Department of Information and Public Relations",Chitradurga,Not Applicable
"Chitradurga - Office of the Deputy commissioner, Department of Excise",Chitradurga,Not Applicable
"Chitradurga - Office of the Deputy Director, Department of Animal Husbandry and Veterinary Services",Chitradurga,Not Applicable
"Chitradurga - Office of the Deputy Director, Department of Handlooms and Textiles",Chitradurga,Not Applicable
"Chitradurga - Office of the Deputy Director, Department of Horticulture",Chitradurga,Not Applicable
"Chitradurga - Office of the Deputy Director, Department of Pre University Eductaion",Chitradurga,Not Applicable
"Chitradurga- Office of The Deputy Director, Department of Public Instruction",Chitradurga,Not Applicable
"Chitradurga - Office of the Deputy Director, Department of Sericulture",Chitradurga,Not Applicable
"Chitradurga - Office of the Deputy Director, Department of Social Welfare",Chitradurga,Not Applicable
"Chitradurga - Office of the Deputy Director, Department of Tourism",Chitradurga,Not Applicable
"Chitradurga - Office of the Deputy Director, Department of Women and Child Development",Chitradurga,Not Applicable
"Chitradurga - Office of the Deputy Director, District Treasury",Chitradurga,Not Applicable
"Chitradurga - Office of The Deputy Director, Fisheries Department",Chitradurga,Not Applicable
Chitradurga - Office of The Deputy Registrar of Co-operative Societies,Chitradurga,Not Applicable
Chitradurga - Office of The District Health and Family Welfare Officer,Chitradurga,Not Applicable
"Chitradurga - Office of the District Office, Department of Backward Classes Welfare",Chitradurga,Not Applicable
"Chitradurga - Office of the District officer, Minority Welfare Department",Chitradurga,Not Applicable
"Chitradurga - Office of The District Skill Development Officer, Skill Development Department",Chitradurga,Not Applicable
"Chitradurga - Office of the Joint Director, Department of Agriculture",Chitradurga,Not Applicable
"Chitradurga - Office of the Joint Director, District Industrial Centre, Dept of Ind & Comm",Chitradurga,Not Applicable
Chitradurga- Office of The Superintendent of Police,Chitradurga,Not Applicable
Chitradurga-Public Works Department - PWD,Chitradurga,Not Applicable
"Chitradurga - Regional Office, Karnataka State Pollution Control Board",Chitradurga,Not Applicable
Chitradurga-REVENUE,Chitradurga,Not Applicable
Chitradurga-Rural Development and Panchayat Raj - RDPR(Z.P),Chitradurga,NA
Chitradurga Urban Development Authority (CUDA),CUDA,Not Applicable
Chitradurga-Urban Development Cell - DUDC,Chitradurga,Not Applicable
Command Area Development Authority(CADA) Cauvery Basin Project(Mysuru),Mysuru,Not Applicable
"Command Area Development Authority, Malaprabha Ghataprabha Project (Belagavi)",Belagavi,Not Applicable
Commissionerate Of Agriculture,NA,Not Applicable
Commissionerate Of Backward Classes Welfare Department,NA,Not Applicable
Commissionerate of Food Safety and Standards Authority,NA,Not Applicable
Commissionerate of Health and Family Welfare Services,NA,Not Applicable
Commissionerate of Industrial Training and Employment Department,NA,Not Applicable
Commissionerate of Industrial Training and Employment Department (Training),NA,Not Applicable
Commissionerate of Information And Public Relation Department,NA,Not Applicable
Commissionerate of Revenue Department,NA,Not Applicable
Commissionerate of Social Welfare,NA,Not Applicable
Commissionerate of Watershed Development Department,NA,Not Applicable
Commissionerate of Youth Empowerment and Sports,NA,Not Applicable
"Commissioner, Commercial Taxes Department",NA,Not Applicable
Dakshina Kannada-Bantwal-Rural Development and Panchayat Raj - RDPR(T.P),Dakshina Kannada,Bantwal
Dakshina Kannada-Beltangadi-Rural Development and Panchayat Raj - RDPR(T.P),Dakshina Kannada,Beltangadi
Dakshina Kannada-City Corporation,Dakshina Kannada,Not Applicable
"Dakshina Kannada - College of Teachers Education, Mangaluru",Dakshina Kannada,Not Applicable
Dakshina Kannada-Deputy Director of Land Records-DDLR,Dakshina Kannada,Not Applicable
Dakshina Kannada - District Consumer Disputes Redressal commission,Dakshina Kannada,Not Applicable
Dakshina Kannada - District Institute for Education and Training (DIET) Mangalore,Dakshina Kannada,Not Applicable
Dakshina Kannada-District Registrar - DR,Dakshina Kannada,Not Applicable
Dakshina Kannada - District Scheduled Tribes Welfare Department,Dakshina Kannada,Not Applicable
Dakshina Kannada - District Skill development Office,Dakshina Kannada,Not Applicable
"Dakshina Kannada - District Training Institute, Mangaluru",Dakshina Kannada,Not Applicable
Dakshina Kannada - Fertilizer Control Laboratory,Dakshina Kannada,Not Applicable
Dakshina kannada-Food and Civil Supplies - FCS,Dakshina kannada,Not Applicable
"Dakshina Kannada -Joint Director office, Commerce and Industries Department(Mangaluru)",Dakshina Kannada,Not Applicable
Dakshina Kannada-Kadaba-Rural Development and Panchayat Raj - RDPR(T.P),Dakshina Kannada,Kadaba
Dakshina Kannada-LABOUR,Dakshina Kannada,Not Applicable
Dakshina Kannada-Mangaluru-Rural Development and Panchayat Raj - RDPR(T.P),Dakshina Kannada,Mangaluru
Dakshina Kannada-Moodabidri-Rural Development and Panchayat Raj - RDPR(T.P),Dakshina Kannada,Moodabidri
"Dakshina Kannada - Office of The Assistant Director, Department of Agricultural Marketing",Dakshina Kannada,Not Applicable
"Dakshina Kannada - Office of the Deputy Director (Administration), Department of School Education",Dakshina Kannada,Not Applicable
"Dakshina Kannada - Office of the Deputy Director, Department of School Education(Pre University)",Dakshina Kannada,Not Applicable
"Dakshina Kannada- Office of The Deputy Director, Department of Sericulture",Dakshina Kannada,Not Applicable
"Dakshina Kannada - Office of the Deputy Director, Department of Social Welfare",Dakshina Kannada,Not Applicable
"Dakshina Kannada- Office of The Deputy Director, Department of Women and Child Development",Dakshina Kannada,Not Applicable
"Dakshina Kannada - Office of the Deputy Director, District Treasury Mangaluru",Dakshina Kannada,Not Applicable
"Dakshina Kannada- Office of The District Officer, Backward Classes Welfare Department",Dakshina Kannada,Not Applicable
"Dakshina Kannada - Office of The District officer, Minority Welfare Department",Dakshina Kannada,Not Applicable
"Dakshina Kannada - Office of the Joint Director,Department of Agriculture,Mangaluru",Dakshina Kannada,Not Applicable
Dakshina Kannada- Office of The Superintendent of Police,Dakshina Kannada,Not Applicable
Dakshina Kannada-Public Works Department - PWD,Dakshina Kannada,Not Applicable
Dakshina Kannada-Puttur-Rural Development and Panchayat Raj - RDPR(T.P),Dakshina Kannada,Puttur
Dakshina Kannada-REVENUE,Dakshina Kannada,Not Applicable
Dakshina Kannada-Rural Development and Panchayat Raj - RDPR(Z.P),Dakshina Kannada,NA
Dakshina Kannada-Sulya-Rural Development and Panchayat Raj - RDPR(T.P),Dakshina Kannada,Sulya
Dakshina Kannada-Urban Development Cell - DUDC,Dakshina Kannada,Not Applicable
Davanagere-Channagiri-Rural Development and Panchayat Raj - RDPR(T.P),Davanagere,Channagiri
Davanagere-City Corporation,Davanagere,Not Applicable
Davanagere-Davanagere-Rural Development and Panchayat Raj - RDPR(T.P),Davanagere,Davanagere
Davanagere-Deputy Director of Land Records-DDLR,Davanagere,Not Applicable
Davanagere-District Consumer disputes Redressal commission,Davanagere,Not Applicable
Davanagere - District Institute for Education and Training (DIET),Davanagere,Not Applicable
Davanagere-District Registrar - DR,Davanagere,Not Applicable
Davanagere- District Training Institute,Davanagere,Not Applicable
Davanagere-Food and Civil Supplies - FCS,Davanagere,Not Applicable
Davanagere-Harihar-Rural Development and Panchayat Raj - RDPR(T.P),Davanagere,Harihar
Davanagere-Honnali-Rural Development and Panchayat Raj - RDPR(T.P),Davanagere,Honnali
"Davanagere-Industrial Training and Employment Department, District Employment Exchange Office",Davanagere,Not Applicable
Davanagere-Jagalur-Rural Development and Panchayat Raj - RDPR(T.P),Davanagere,Jagalur
"Davanagere- Joint Director office, Commerce and Industries Department",Davanagere,Not Applicable
Davanagere - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Davanagere,Not Applicable
Davanagere- Karnataka Rural Infrastructure Development Limited,Davanagere,Not Applicable
Davanagere-LABOUR,Davanagere,Not Applicable
Davanagere-Nyamati-Rural Development and Panchayat Raj - RDPR(T.P),Davanagere,Nyamati
"Davanagere -Office of The Assistant Director, Department of Agricultural Marketing",Davanagere,Not Applicable
"Davanagere- Office of The Assistant Director, Department of Kannada and Culture",Davanagere,Not Applicable
"Davanagere- Office of The Assistant Director, Department of Tourism",Davanagere,Not Applicable
"Davanagere - Office of The Assistant Director, Department of Town and Country Planning",Davanagere,Not Applicable
"Davanagere- Office of The Assistant Director, Department of Youth Empowerment and Sports",Davanagere,Not Applicable
"Davanagere - Office of the Deputy Director (Administration), Department of School Education",Davanagere,Not Applicable
"Davanagere- Office of The Deputy Director, Department of Handlooms and Textiles",Davanagere,Not Applicable
"Davanagere- Office of The Deputy Director, Department of Sericulture",Davanagere,Not Applicable
"Davanagere - Office of The Deputy Director, Department of Women and Child Development",Davanagere,Not Applicable
"Davanagere - Office of the Deputy Director, District Treasury",Davanagere,Not Applicable
"Davanagere- Office of The Deputy Director, Fisheries Department",Davanagere,Not Applicable
Davanagere - Office of The Deputy Registrar of Co-operative Societies,Davanagere,Not Applicable
Davanagere- Office of The District Health and Family Welfare Officer,Davanagere,Not Applicable
"Davanagere - Office of the District officer, Backward Classes Welfare Department",Davanagere,Not Applicable
"Davanagere - Office of The District officer, Minority Welfare Department",Davanagere,Not Applicable
"Davanagere - Office of The District Skill Development Officer, Dept of Skill Development, Enterpren",Davanagere,Not Applicable
"Davanagere- Office of The District Statistical Officer,Department of Statistics",Davanagere,Not Applicable
"Davanagere- Office of The Executive Engineer,Karnataka Neeravari Nigama Limited",Davanagere,Not Applicable
"Davanagere- Office of The Joint Director, Department of Agriculture",Davanagere,Not Applicable
"Davanagere- Office of The Special Land Aquisition Officer, Kotturu- Harihara Railway Broadway Line",Davanagere,Not Applicable
Davanagere- Office of The Superintendent of Police,Davanagere,Not Applicable
Davanagere-Public Works Department - PWD,Davanagere,Not Applicable
"Davanagere- Regional Office, Karnataka State Pollution Control Board",Davanagere,Not Applicable
Davanagere-REVENUE,Davanagere,Not Applicable
Davanagere-Rural Development and Panchayat Raj - RDPR(Z.P),Davanagere,NA
Davanagere University,State Level / Not Applicable,Not Applicable
Davanagere - Urban Development Cell - DUDC,Davanagere,Not Applicable
Davangere - Harihara urban Development Authority,Davangere,Not Applicable
D Devaraj Urs Backward Classes Development Corporation,NA,Not Applicable
D Devaraj Urs Research Institute,NA,Not Applicable
D.Devaraj Urs Trucks Terminals Limited,NA,Not Applicable
Department of Agricultural Marketing,NA,Not Applicable
"Department of Factories,Boilers,Industrial Safety & Health",NA,Not Applicable
"Department of Printing, Stationary and Publication",NA,Not Applicable
Department of Prosecutions & Government Litigation.,NA,Not Applicable
Department of State Educational Research and Training,NA,Not Applicable
Department of Technical education,NA,Not Applicable
"Dharwad - Additional Director, Town and Country Planning Department, Dharwad Zonal Office",Dharwad,Not Applicable
Dharwad-Alnavara-Rural Development and Panchayat Raj - RDPR(T.P),Dharwad,Alnavara
Dharwad-Annigeri-Rural Development and Panchayat Raj - RDPR(T.P),Dharwad,Annigeri
Dharwad-Centre for Entrepreneurship Development of Karnataka CEDOK,Dharwad,Not Applicable
Dharwad-City Corporation,Dharwad,Not Applicable
Dharwad-Department of Electrical Inspectorate,Dharwad,Not Applicable
Dharwad-Deputy Director of Land Records-DDLR,Dharwad,Not Applicable
"Dharwad -Dharwad - Office of The Deputy Director, Fisheries Department",Dharwad,Not Applicable
Dharwad-Dharwad-Rural Development and Panchayat Raj - RDPR(T.P),Dharwad,Dharwad
Dharwad - District Institute for Education and Training (DIET),Dharwad,Not Applicable
Dharwad-District Registrar - DR,Dharwad,Not Applicable
Dharwad - District Training Institute,Dharwad,Not Applicable
Dharwad-Food and Civil Supplies - FCS,Dharwad,Not Applicable
Dharwad-Hubballi-Rural Development and Panchayat Raj - RDPR(T.P),Dharwad,Hubballi
Dharwad-Kalghatgi-Rural Development and Panchayat Raj - RDPR(T.P),Dharwad,Kalghatgi
"Dharwad- Karnataka Institute of Medical Sciences,Hubli",Dharwad,Not Applicable
Dharwad - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Dharwad,Not Applicable
Dharwad- Karnataka Power Transmission Corporation Limited,Dharwad,Not Applicable
Dharwad- Karnataka Rural Infrastructure Development Limited,Dharwad,Not Applicable
Dharwad- Karnataka Slum Development Board,Dharwad,Not Applicable
Dharwad - Karnataka Urban Water Supply and Drainage Board,Dharwad,Not Applicable
Dharwad-Kundgol-Rural Development and Panchayat Raj - RDPR(T.P),Dharwad,Kundgol
Dharwad-LABOUR,Dharwad,Not Applicable
Dharwad-Navalgund-Rural Development and Panchayat Raj - RDPR(T.P),Dharwad,Navalgund
Dharwad- NGEF (Hubli) Limited,Dharwad,Not Applicable
"Dharwad - Office of The Additional Commissioner, Department of School Education",Dharwad,Not Applicable
"Dharwad - Office of The Assistant Director, Department of Youth Empowerment and Sports",Dharwad,Not Applicable
"Dharwad - Office of the Chief Engineer, C&B(North),Public Works Department",Dharwad,Not Applicable
"Dharwad- Office of The Deputy commissioner, Department of Excise",Dharwad,Not Applicable
"Dharwad - Office of The Deputy Director, Department of Agricultural Marketing",Dharwad,Not Applicable
